train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,Train_AverageReturn,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,Initial_DataCollection_AverageReturn,step
105,0,105,105,105,73.89285714285714,37.5987645,60,18,186,510,0,510,510,510,331.07144,275.1667,210,10,1190,350001,3512.1638338565826,4.857143,8.631535,0,0,60,4.4804254,13.675915,0,0,400,30,350000
36,18,36,18,54,76.65454545454546,42.48602687165326,59,17,189,85,45,85,40,130,374.9091,319.19714,250,20,1270,360001,3612.540692090988,2.3611112,4.2469125,0,0,10,4.890892,18.807865,0,0,400,30,360000
52,8,52,44,60,77.75471698113208,36.97317010940187,74,16,176,340,180,340,160,520,392.8302,339.48007,290,10,1460,370001,3712.0325813293457,6.5384617,20.227987,0,0,200,5.0521717,20.846058,0,0,400,30,370000
84,0,84,84,84,69.45,36.619405147180274,55,15,192,570,0,570,570,570,327.5,282.92886,200,30,1150,380001,3808.765123605728,6.785714,22.843191,0,0,200,4.715623,16.69643,0,0,410,30,380000
73,0,73,73,73,70.22033898305085,33.32178388443546,64,20,152,460,0,460,460,460,336.10168,262.2395,260,0,1110,390001,3907.6463503837585,6.3013697,13.294024,0,0,100,4.7863865,17.39203,0,0,410,30,390000
44.5,1.5,44.5,43,46,67.26229508196721,35.50843891354365,56,18,201,95,35,95,60,130,312.62296,281.41275,180,20,1270,400001,4005.698185443878,2.1348314,4.3632555,0,0,20,4.6478186,15.398406,0,0,400,30,400000
75,52,75,23,127,79.92307692307692,43.789639692268516,73,21,190,165,165,165,0,330,390.19232,375.8605,335,10,1960,410001,4103.15655,2.2,5.5220766,0,0,50,4.882098,21.915281,0,0,800,30,410000
47.666666666666664,30.02591473303612,39,16,88,80.37254901960785,37.37880325422666,79,20,168,403.33334,436.67938,200,0,1010,414.70587,339.32663,350,0,1340,420001,4200.590763568878,8.461538,38.089104,0,0,400,5.1597953,17.405306,0,0,410,30,420000
59,32,59,27,91,73.21052631578948,34.948953673620714,60,17,200,260,210,260,50,470,352.2807,300.71854,240,40,1390,430001,4298.3654108047485,4.40678,6.5796785,0,0,50,4.811886,16.624994,0,0,410,30,430000
79.5,31.5,79.5,48,111,75.67272727272727,38.164264363146906,61,26,201,295,165,295,130,460,368.54544,361.14172,290,30,2080,440001,4398.112946271896,3.710692,5.99302,0,0,50,4.8702545,19.229387,0,0,800,30,440000
